"Click here to select your Kariboo!-spot","Klik hier om uw Kariboo!-spot te selecteren"
"Click here to change your Kariboo!-spot","Klik hier om uw Kariboo!-spot te veranderen"
"Open after 16h","Open na 16 uur"
"Open Sunday","Open op zondag"
"Filter","Filteren"
"Select","Selecteren"
"Postal code","Postcode"
"Kariboo! Orders","Kariboo! Bestellingen"
"Generate Label and Complete","Label maken en invullen"
"Generating a label can take up to 1 second per label, please be patient during this process. It can take up to maximum 2 minutes. Do you want to continue?","Een label maken duurt 1 seconde per label, wees a.u.b. geduldig tijdens dit proces. Het kan tot maximaal 2 minuten duren. Wilt u verdergaan?"
"Download all undownloaded","Alle niet-gedownloade items downloaden"
"Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?","A.u.b. na het downloaden de pagina verversen om bevestigingsboodschappen over mogelijke problemen te bekijken. Verdergaan?"
"Kariboo! Return Labels","Kariboo! Retourlabels"
"Country","Land"
"Region/State","Streek/Provincie"
"Zip/Postal Code","Postcode"
"Shipping Price","Verzendingsprijs"
"Sorry, there was a problem contacting Kariboo! , please contact the store owner for support.","Sorry, er was een probleem bij het contacteren van Kariboo!, neem a.u.b. contact op met de winkeleigenaar voor hulp."
"Your return label has been generated and is available under 'Kariboo! Return Labels' in this order.","Uw retourlabel is klaar en beschikbaar onder 'Kariboo! Retourlabels' in deze bestelling."
"The email with return label and instructions has been sent to %s.","De e-mail met het retourlabel en de richtlijnen werd gestuurd naar %s."
"No label generated yet - please perform the ‘Generate Label and Complete’ action from the overview.","Er is nog geen label gemaakt gelieve a.u.b. de handeling 'Label maken en invullen' in het overzicht uitvoeren."
"The order with id %s is not ready to be shipped or has already been shipped.","De bestelling met id %s werd nog niet verzonden of is al verzonden."
"%s label(s) have been generated for %s order(s) and statuses have been changed.","Er werden %s label(s) gemaakt voor %s bestelling(en) en de statussen werden veranderd."
"Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled.","Bepaalde geselecteerde bestellingen zijn nog niet klaar voor verzending of zijn al verzonden, verzending geannuleerd."
"No undownloaded labels found.","Geen niet-gedownloade labels gevonden.."
"The file(s) could not be downloaded, please check your Kariboo logs.","Het(de) bestand(en) kon(konden) niet worden gedownload,gelieve a.u.b. uw Kariboo-rapporten controleren."
"Sorry, something went wrong processing your shipping address. Your address was not recognised. Please correct any errors in your shipping address and try again.","Sorry, er is iets verkeerd gegaan tijdens het verwerken van uw verzendingsadres. Uw adres werd niet herkend. A.u.b. mogelijke fouten in uw verzendingsadres verbeteren en opnieuw proberen."
"Kariboo! Return Label","Kariboo! Retourlabel"
"Download Kariboo! Label","Kariboo! Label downloaden"
"The order with id %s is not ready to be shipped or has already been shipped.","De bestelling met id %s is nog niet klaar voor verzending of werd al verzonden."
"Something went wrong while processing order %s, please check your error logs.","Er is iets verkeerd gegaan tijdens het verwerken van de bestelling %s,gelieve a.u.b. uw foutrapporten controleren."
"Shipped with Kariboo generateLabelAndComplete","Verzonden met Kariboo Label maken en invullen"
"The order with id %s only has non-Kariboo! shipments.","De bestelling met id %s heeft geen Kariboo verzendingen."
"%s orders already had downloaded labels.","Er werden al %s bestellabels gedownload."
"All labels have been downloaded.","Alle labels werden gedownload."
"Invalid Table Rates File Format","Ongeldig tabelprijzen bestandsformaat"
"An error occurred while importing table rates.","Er is een fout opgetreden tijdens het importeren van tabelprijzen."
"File has not been imported. See the following list of errors: %s","Het bestand werd niet geïmporteerd. Zie de volgende lijst met fouten: %s"
"Invalid Table Rates format in the Row #%s","Ongeldig formaat tabelprijzen in rij #%s"
"Invalid Country "%s" in the Row #%s.","Ongeldig land""%s""in rij #%s."
"Invalid Region/State "%s" in the Row #%s.","Ongeldige streek/provincie %s""in rij #%s."
"Invalid %s "%s" in the Row #%s.","Ongeldig %s""%s""in rij #%s."
"Invalid Shipping Price "%s" in the Row #%s.","Ongeldige verzendingsprijs""%s""in rij #%s."
"Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s").","Rij #%s (Land %s"", Streek/provincie""%s"", postcode""%s""en waarde""%s"") is 2 maal opgegeven."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Deze verzendingsmethode is momenteel niet beschikbaar. Als u deze verzendingsmethode wilt gebruiken, neem dan contact met ons op."
"Overlay","Popup"
"Inline","Gealigneerd"
"Table Rates","Tabelprijzen”"
"Flat Rate","Vaste prijs"
"Loading please wait..","Bezig met laden, wachten a.u.b.."
"Based on your previous order, we already selected the same Kariboo!-spot for you:","Op basis van uw eerdere bestelling hebben wij al dezelfde Kariboo!-spot voor u gekozen:"
"Please select a Kariboo!-spot","Gelieve een Kariboo!-spot te selecteren"
"Real-time data is not available at the moment, last status update is from %s","Real-time gegevens zijn momenteel niet beschikbaar, de laatste update dateerd van %s"
"Tracking info is not available. Please contact the store owner.","De leveringsinformatie is niet beschikbaar, gelieve de winkeleigenaar te contacteren."
"This order did not (yet) generate labels which automatically returned return label barcodes. This feature might not be active for your account. Please refer to the documentation	or your Kariboo! accountmanager for more information."
"Ma","Ma"
"Di","Di"
"Wo","Wo"
"Do","Do"
"Vr","Vr"
"Za","Za"
"Zo","Zo"
